날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 25일,107.66,109.06,111.22,107.66,-,-1.28%
2021년 04월 18일,109.06,110.15,111.37,103.94,177.81M,-2.46%
2021년 04월 11일,111.81,106.3,111.99,104.98,156.04M,4.23%
2021년 04월 04일,107.27,98.21,107.46,97.97,148.30M,11.86%
2021년 03월 28일,95.9,88.24,96.03,84.96,161.50M,8.18%
2021년 03월 21일,88.65,88.29,93.23,81.65,243.58M,2.51%
2021년 03월 14일,86.48,88.81,95.99,83.4,228.82M,-2.30%
2021년 03월 07일,88.52,83.28,92.26,76.27,234.51M,5.68%
2021년 02월 28일,83.76,93.36,97.68,75.03,321.41M,-6.12%
2021년 02월 21일,89.22,100.54,101.8,86.25,225.54M,-14.88%
2021년 02월 14일,104.82,110.96,111.86,102.28,99.72M,-4.80%
2021년 02월 07일,110.11,106.96,110.3,103.46,110.66M,4.57%
2021년 01월 31일,105.3,93.55,106.29,91.74,113.25M,16.39%
2021년 01월 24일,90.47,103.76,105.07,88.75,176.84M,-10.00%
2021년 01월 17일,100.52,90.72,102.14,89.8,104.32M,13.34%
2021년 01월 10일,88.69,92.41,93.67,87.54,164.00M,-6.78%
2021년 01월 03일,95.14,92.04,95.44,83.42,200.86M,4.66%
2020년 12월 27일,90.9,89.58,91.7,88.02,112.43M,4.09%
2020년 12월 20일,87.33,84.78,88.36,82.34,140.53M,0.18%
2020년 12월 13일,87.17,81.61,88.95,81.58,187.57M,8.08%
2020년 12월 06일,80.65,83.95,86.34,77.63,211.50M,-3.76%
2020년 11월 29일,83.8,78.86,84.09,75.29,196.52M,6.60%
2020년 11월 22일,78.61,72.91,79.53,70.38,139.17M,8.97%
2020년 11월 15일,72.14,72.38,74.68,70.98,210.03M,-0.59%
2020년 11월 08일,72.57,77.84,79.19,65.17,355.06M,-4.13%
2020년 11월 01일,75.7,59.9,76.28,56.8,370.29M,28.89%
2020년 10월 25일,58.73,67.89,69.99,56.77,412.28M,-15.68%
2020년 10월 18일,69.65,74.02,74.75,66.73,306.27M,-4.00%
2020년 10월 11일,72.55,74.2,79.36,70.97,338.28M,2.83%
2020년 10월 04일,70.55,64.23,70.69,62.58,293.67M,12.22%
2020년 09월 27일,62.87,64.64,69.03,62.16,378.28M,2.68%
2020년 09월 20일,61.23,55.62,62.56,54.05,448.85M,5.13%
2020년 09월 13일,58.24,63.5,67.71,55.38,446.75M,-4.29%
2020년 09월 06일,60.85,62.48,69.19,58.41,392.23M,-14.08%
2020년 08월 30일,70.82,79.27,87.83,61.93,417.03M,-10.20%
2020년 08월 23일,78.86,73.11,79.94,70.22,286.09M,11.60%
2020년 08월 16일,70.66,64.94,71,64.83,199.72M,10.80%
2020년 08월 09일,63.77,63.63,65.59,58.7,305.11M,0.44%
2020년 08월 02일,63.49,61.12,65.97,61.03,270.15M,6.37%
2020년 07월 26일,59.69,54.3,59.75,53.68,340.70M,12.30%
2020년 07월 19일,53.15,56.4,61.84,50.51,367.24M,-4.95%
2020년 07월 12일,55.92,61.02,62.98,51.7,433.21M,-5.35%
2020년 07월 05일,59.08,53.65,59.23,53.65,314.60M,14.39%
2020년 06월 28일,51.65,44.6,52.94,43.14,247.82M,15.44%
2020년 06월 21일,44.74,46.95,51.31,44.45,381.37M,-4.73%
2020년 06월 14일,46.96,40.54,48.62,40.03,385.75M,10.75%
2020년 06월 07일,42.4,44.8,49.61,40.22,382.46M,-5.67%
2020년 05월 31일,44.95,41.03,45.27,40.81,306.18M,8.63%
2020년 05월 24일,41.38,41.52,41.66,36.69,314.17M,4.47%
2020년 05월 17일,39.61,38,40.96,37.61,344.21M,8.67%
2020년 05월 10일,36.45,36.73,39.06,33.05,465.17M,-2.54%
2020년 05월 03일,37.4,31.27,37.48,31.04,338.42M,17.80%
2020년 04월 26일,31.75,33.59,35.23,31.25,440.97M,-2.46%
2020년 04월 19일,32.55,32.59,33.76,28.16,481.40M,-2.46%
2020년 04월 12일,33.37,27,34.05,26.54,593.80M,22.06%
2020년 04월 05일,27.34,23.55,28.36,23.18,562.03M,28.90%
2020년 03월 29일,21.21,22.79,25.77,20.31,676.53M,-4.33%
2020년 03월 22일,22.17,17.96,25,16.14,922.79M,24.90%
2020년 03월 15일,17.75,20.23,24.3,16.36,964.09M,-37.54%
2020년 03월 08일,28.42,30.77,35.47,22.2,618.14M,-26.03%
2020년 03월 01일,38.42,39.63,45.75,35.5,501.99M,-0.21%
2020년 02월 23일,38.5,48.14,49.79,33.75,457.87M,-28.80%
2020년 02월 16일,54.07,56.46,59.4,53.37,167.96M,-5.59%
